Table,Column,SampleIndex,OriginalReal,NormalizedDecimal,MigratedCents,Difference,Status
OrcamentoItens,Desconto,8,0.0,0,0,0,PASS
OrcamentoItens,Desconto,9,0.0,0,0,0,PASS
OrcamentoItens,Desconto,10,0.0,0,0,0,PASS
OrcamentoItens,Desconto,11,0.0,0,0,0,PASS
OrcamentoItens,Desconto,12,0.0,0,0,0,PASS
OrcamentoItens,Desconto,13,0.0,0,0,0,PASS
OrcamentoItens,Desconto,14,0.0,0,0,0,PASS
OrcamentoItens,Subtotal,0,120.0,120,12000,0,PASS
OrcamentoItens,Subtotal,1,80.0,80,8000,0,PASS
OrcamentoItens,Subtotal,2,180.0,180,18000,0,PASS
OrcamentoItens,Subtotal,3,0.0,0,0,0,PASS
OrcamentoItens,Subtotal,4,0.0,0,0,0,PASS
OrcamentoItens,Subtotal,5,0.0,0,0,0,PASS
OrcamentoItens,Subtotal,6,0.0,0,0,0,PASS
OrcamentoItens,Subtotal,7,120.0,120,12000,0,PASS
OrcamentoItens,Subtotal,8,120.0,120,12000,0,PASS
OrcamentoItens,Subtotal,9,480.0,480,48000,0,PASS
OrcamentoItens,Subtotal,10,960.0,960,96000,0,PASS
OrcamentoItens,Subtotal,11,480.0,480,48000,0,PASS
OrcamentoItens,Subtotal,12,960.0,960,96000,0,PASS
OrcamentoItens,Subtotal,13,480.0,480,48000,0,PASS
OrcamentoItens,Subtotal,14,960.0,960,96000,0,PASS
OrcamentoItens,LucroEstimado,0,120.0,120,12000,0,PASS
OrcamentoItens,LucroEstimado,1,80.0,80,8000,0,PASS
OrcamentoItens,LucroEstimado,2,180.0,180,18000,0,PASS
OrcamentoItens,LucroEstimado,3,0.0,0,0,0,PASS
OrcamentoItens,LucroEstimado,4,0.0,0,0,0,PASS
OrcamentoItens,LucroEstimado,5,0.0,0,0,0,PASS
OrcamentoItens,LucroEstimado,6,0.0,0,0,0,PASS
OrcamentoItens,LucroEstimado,7,120.0,120,12000,0,PASS
OrcamentoItens,LucroEstimado,8,120.0,120,12000,0,PASS
OrcamentoItens,LucroEstimado,9,480.0,480,48000,0,PASS
OrcamentoItens,LucroEstimado,10,960.0,960,96000,0,PASS
OrcamentoItens,LucroEstimado,11,480.0,480,48000,0,PASS
OrcamentoItens,LucroEstimado,12,960.0,960,96000,0,PASS
OrcamentoItens,LucroEstimado,13,480.0,480,48000,0,PASS
OrcamentoItens,LucroEstimado,14,960.0,960,96000,0,PASS
Orcamentos,Subtotal,0,120.0,120,12000,0,PASS
Orcamentos,Subtotal,1,80.0,80,8000,0,PASS
Orcamentos,Subtotal,2,180.0,180,18000,0,PASS
Orcamentos,Subtotal,3,120.0,120,12000,0,PASS
Orcamentos,Subtotal,4,120.0,120,12000,0,PASS
Orcamentos,Subtotal,5,480.0,480,48000,0,PASS
Orcamentos,Subtotal,6,480.0,480,48000,0,PASS
Orcamentos,Subtotal,7,480.0,480,48000,0,PASS
Orcamentos,Subtotal,8,480.0,480,48000,0,PASS
Orcamentos,Subtotal,9,480.0,480,48000,0,PASS
Orcamentos,Subtotal,10,480.0,480,48000,0,PASS
Orcamentos,Subtotal,11,480.0,480,48000,0,PASS
Orcamentos,Subtotal,12,480.0,480,48000,0,PASS
Orcamentos,Subtotal,13,480.0,480,48000,0,PASS
Orcamentos,Subtotal,14,480.0,480,48000,0,PASS
Orcamentos,Desconto,0,0.0,0,0,0,PASS
Orcamentos,Desconto,1,0.0,0,0,0,PASS
Orcamentos,Desconto,2,0.0,0,0,0,PASS
Orcamentos,Desconto,3,0.0,0,0,0,PASS
Orcamentos,Desconto,4,0.0,0,0,0,PASS
Orcamentos,Desconto,5,0.0,0,0,0,PASS
Orcamentos,Desconto,6,0.0,0,0,0,PASS
Orcamentos,Desconto,7,0.0,0,0,0,PASS
Orcamentos,Desconto,8,0.0,0,0,0,PASS
Orcamentos,Desconto,9,0.0,0,0,0,PASS
Orcamentos,Desconto,10,0.0,0,0,0,PASS
Orcamentos,Desconto,11,0.0,0,0,0,PASS
Orcamentos,Desconto,12,0.0,0,0,0,PASS
Orcamentos,Desconto,13,0.0,0,0,0,PASS
Orcamentos,Desconto,14,0.0,0,0,0,PASS
Orcamentos,Acrescimo,0,0.0,0,0,0,PASS
Orcamentos,Acrescimo,1,0.0,0,0,0,PASS
Orcamentos,Acrescimo,2,0.0,0,0,0,PASS
Orcamentos,Acrescimo,3,0.0,0,0,0,PASS
Orcamentos,Acrescimo,4,0.0,0,0,0,PASS
Orcamentos,Acrescimo,5,0.0,0,0,0,PASS
